"من لها: اذهبي الى بيت ابيك ولا	حاجة	لي بك ، وعندي منها اولاد. زوجي مدمن حبوب مخدرة ،",,,
"زوجي ووالدته عند الله ؟. زوجتي لا	تريد	ان تسكن بالقرب من اختي ، واخي افعل ذلك هل اكون آثما",,,
". فهل هذا صحيح ؟ نويت العمرة ان	شاء	الله انا وهل يجب علينا التلبية من بعد الاحرام وحتى نصل الى",,,
"وقال انا اريدها وهي زوجتي شرعا ، وقد	طلب	مني زوجي وصارت الامور صعبة جدا للغاية حيث ان اهل زوجي كانوا",,,
"وقال انا اريدها وهي زوجتي شرعا ، وقد	طلب	مني زوجي مرارا الفرار من زوجي ليطلقني ولكن زوجي رفض وقال انا",,,
"وقال انا اريدها وهي زوجتي شرعا ، وقد	طلب	مني زوجي مرارا الفرار من المنزل لاتمام حفل الزفاف ولكني رفضت الفكرة",,,
"زوجي ، فهل يعتبر زوجي عاقا بامه اذا	طلب	منها السكن عند باقي اخوته.... وسكنت 8 اشهر مما تسبب",,,
"زوجي ، فهل يعتبر زوجي عاقا بامه اذا	طلب	منها السكن عند باقي اخوته.... مع العلم انها تلح ان",,,
"نهار لاني لا استطيع العودة للعيش ببلدي لاسباب	امنية	زوجي لا اقول لا يهتم مثلي ولكن لا يبدو عليه القلق من",,,
"الزواج منذ 5 سنوات من قبل وكان قد	طلب	يدي عدة مرات ولانني وانا به قطعت العلاقة- كنا مخطوبين ايضا -",,,
"متزوجة واسكن في بيت بالايجار انا زوجي وولدي	نرغب	في شراء بيت باذن الله تعالى",,,
"ولكن للاسف لم نكن نملك المال الله- يتحقق	مراد	الانسان كالنجاح في الدراسة او الزواج ؟ ما حكم الاستعاذة والبسملة ؟",,,
"لي ان امتنع عن زيارة جيراننا هؤلاء رافضة	طلب	زوجي بذلك ؟ آسفة جدا على الاطالة. لكم مني خالص التحية",,,
"؟ ام ان الخلاف فيه رحمة وفسحة لمن	اراد	. زوجي طلقني مرة واحدة من قبل وانا الآن في فترة الحيض", واصحاب البيوت يطلبون مقدما يقارب,,
": تحتاجين الى علاج ، ويحدث الحمل -ان	شاء	الله-. وذكر زوجي له المشكلة القديمة ، فقال الطبيب: لا",,,
"ابي ونصف الوقت بيت ابي زوجي وكل انسان	يتمنى	العيش في بيت منفرد يعيش حياته الخاصة بهدوء وسكينة وصدقني لو تركت",,,
"الاسباب الا من يتقدم لخطبتي ويكون زوجي ان	شاء	الله ، وشاءت الاقدار ان اقابل في حياتي مدرسا زميل والدتي وهو",,,
"والد زوجي - وهو اسم لا يعجبني ولا	يعجب	زوجي ، فهل من حقها ان تتحكم في على تسمية ابني باسم",,,
"والد زوجي - وهو اسم لا يعجبني ولا	يعجب	زوجي ، فهل من حقها ان تتحكم في تسمية ابننا بهذا الشكل",,,
"زوجي في خلوة ، وحصل فيها انزال وقضاء	شهوة	من دون الجماع ، وكان اهلي سيذهبون ان يكون قد وجب علي",,,
"الحياة معه فقط بسبب الاولاد حتى انني لا	ارغب	في معاشرته ولكن اريد ولكن بقائي معه فقط لابنائي واريد ان اساعده",,,
"اذا شمت رائحة مرة في الطريق وتوالت الاشهر	اراد	الطلاق طلق حتى وان لم تكن هنالك اسباب ، احيطكم علما بانني",,,
"اوربي منذ اربع سنوات ولدينا طفلان والحمد لله	يرغب	زوجي بالسفر لوحده الى متزوجة واعيش مع زوجي في بلد اوربي منذ",,,
"اوربي منذ اربع سنوات ولدينا طفلان والحمد لله	يرغب	زوجي بالسفر لوحده الى الحج الشهر المقبل فهل يجوز له ان يتركنا",,,
"زوجي مع غيري ، وارسلت له رسائل ان	يختار	بيني وبينها ، ولا استطيع ان اكمل شهر. وابني مريض",,,
"حرام تشوبها الشوائب ما العمل ولو ان زوجي	طلب	من الشركة ان لا ياخذ هذه النسبة او يتنازل عنها لزميله المرشدالذي",,,
"علما وان زوجي يضحي باسم العائلة ؟ والحقيقة	اميل	الى شراء كبش و الى منحه لعائلة لا تقدر وبدون علم الزوجة",,,
"لانني اعرف الجمعيات. عندما تسالني امي سؤالا	تريد	ان تعرف شيئا من خلاله ، وهو يخص زوجي ، وزوجي قد",,,
"مقصر في اي شيء ؛ ولكن ليس عنده	هدف	محدد لابنه واطعم المساكين ؟ وشكرا. افطرت رمضان بحكم الجماع نهارا",,,
"سنة وزوجي 63 سنة وعندنا 4 احفاد زوجي	طلب	مني ان يجامعني من الخلف وعندما رفضت اشترى مرهم يعني كريم وقال",,,
"يطلقني وانا كنت لا ازال متعسرة لكن ان	شاء	الله صابرة وراضية وادعو باستمرار ربي بطلب الرزق ولكن المشكلة في زوجي",,,
"يعيروني بان رزقي قليل لا بل ويدعوني بانهم	يرغبون	في جلب الرزق لي وقد بدات اشعر بالحزن وانكسار قلبي من كلامهم",,,
"شهر ونصف وعمري 19 سنة ونصف وزفافي ان	شاء	الله بعد شهر زوجي قد دفع المهر كاملا لابي والمتفق عليه انه",,,
"الموفق ؟ ودام اول مرة احلف بالطلاق وان	شاء	الله ستكون الاخيره افيدونا رحمكم الله هل يجوز طلاق زوجي لي وهو",,,
"الشرب وليست له وظيفة مستقرة اهلي في موضوع	طلب	الطلاق ولم يعارضني اي منهم بالعكس لقد شجعوني. وطلبنا من زوجي",,,
"والدتي واثنين من اخوتها حاضرين. واخبرناه بقراري	طلب	ماله الخاص يختلف عن الآخر ؟ السؤال بارك الله فيكم وفي علمكم",,,
"زوجي طلقني ، ولكن باكراه ، فقد تزوجني	رغبة	فيّ ، ولكن اهلي بعد الزواج معارضون الوضع مع اهله ، واهلي",,,
"ضربني ، وانا حامل. مع انه كان	يتمنى	الآن من عمري وقادر على الصيام او اطعام مساكين ؟ وجزاك الله",,,
"، او اخفائي امرا عليه ، وانا اخفي	قصد	وبحكم انهما افطرا بحدوث الانزال قاما بالجماع ، فما حكمه ؟ لدي",,,
"(الخرف) في آخر مراحله ، ولذلك	طلب	اخوة زوجي مني عدم ذكرها في حصر الورثة لانها مريضة ولا تفقه",,,
"حسب لفظه هذا مالك ومال عيالك. عندها	طلب	مني شاب مسلم والحمد لله ، احيانا وبعد ممارسة الحياة الجنسية اضطر",,,
"الى شيء ، فما هو حكم الدين لو	طلب	مني زوجي خلع التزامي مع بقائي محجبة فقط كاغلب السيدات ؟ الاقامة",,,
"بلاد الكفر حرام بالاجماع اي ان الله اذا	اراد	بي ان ادعوه فسادعوه ؟ وشكرا. كيف ارقق قلب زوجي علي",,,
"قد بدا مع العلم بانه تم عن غير	قصد	وقد ابي وامي ، او ان اندم بعد اخبارهما اذا حصل لهما",,,
"له ان زوجتك متكبرة علينا ولا تحبنا وهي	تريد	ان تقطع رحمك من اخوتك ولا عمري في حياتي جرحتهم ولا قلت",,,
"خيرا ابنهما بين ان يكون ابنا - ان	شاء	الله - وحجزت بالمستشفى لمدة يومين",,,
"بانه يرحب بهم في اي وقت",,,
"زوجي في منزل والدي في هذه الظروف لمجرد	طلب	تاجيل الزيارة ؟ آسفة على الاطالة -.. والذي اتهم هذا",,,
"دخله ممتاز ، وعائلته من اصحاب يحق لي	طلب	المسكن المستقل ام لا يجوز ذلك بحكم ان اباه عاجز ؟ وايضا", كان يقوم على خدمتي فيهما,,
"من بخل زوجي الذي يشتري لنفسه كل ما	تشتهي	نفسه ويبخل علي وعلى ابنائه ولما اطلب منه النقود كيلو. فافيدوني"," ولكنه	طلب	الانتظار مدة يومين فقط واعتبروها اهانة لانهم اصحاب بيت", ومن حقهم,
"عليكم ورحمة الله وبركاته اريد ان استفسر عن	نزع	النقاب مع اني اشترطته على زوجي قبل الزواج فقبل شرطي ولكن بعد",,,
"زوجي جدال حاد ومن خلال الحديث كان قد	طلب	مني انه قال علي الطلاق بالثلاث اذا انه قال علي الطلاق بالثلاث",,,
"وبعد ان رآني زوجي اصلي وقد كنت حائضا	اراد	ان يجامعني فقلت له انني لست متاكدة من الطهر ، كان مني",,,
"لغيره لامرت المراة ان تعبد زوجها ـ اصبحت	اشتهي	الموت وادعو الله لاموت لكي ارى زوجي واعتذر له. سئل ابن",,,
"ساله اخوه وكان بدولة الكويت (حوالي كم	تريد	من المال وقد ساله اخوه وكان بدولة الكويت (حوالي كم تريد",,,
"ساله اخوه وكان بدولة الكويت (حوالي كم	تريد	) ، وكان زوجي بمصر وقتها فحدد مبلغاً بالجنية المصري ، المهم",,,
"المهم قام اخو زوجي باستبدال مبلغ من الماركات	تريد	) ، وكان زوجي بمصر وقتها فحدد مبلغاً بالجنية المصري ، المهم",,,
"بين الفحشاء والمنكر ؟ زوجي في احد الايام	اراد	ان ياخذ قيلولة بعد المغرب ، ونام فقط بملابسة الداخلية. المسلمة",,,
"هل تحتسب العمرة ؟ و هل هناك دم	مطلوب	؟ طلب مني زوجي شرب الخمر لمرة واحدة وذلك بسب شكوك زوجي",,,
"العمرة ؟ و هل هناك دم مطلوب ؟	طلب	مني زوجي شرب الخمر لمرة واحدة وذلك بسب شكوك زوجي من تصرفات",,,
"لي ويريد ان يعرف مني هل هناك دم	مطلوب	؟ طلب مني زوجي شرب الخمر لمرة واحدة وذلك بسب شكوك زوجي",,,
"ان يعرف مني هل هناك دم مطلوب ؟	طلب	مني زوجي شرب الخمر لمرة واحدة وذلك بسب شكوك زوجي من تصرفات",,,
"حدثت مشاكل مع اهل زوجي وقلت من غير	قصد	ثلاث مرات (ان شاء الله لا ارى الاولاد لو كان فتاة",,,
"وقلت من غير قصد ثلاث مرات (ان	شاء	الله لا ارى الاولاد لو كان فتاة قد عقد قراني منذ فترة",,,
"فيه يسالني اذا كنت ساتابع معه لانه يعلم	رغبة	زوجي الملحة في العمل الحكومي حيث الراتب كان قليلاً وخاصة في البداية",,,
"اسدد الدين ؟ السلام عليكم... ابن عمي	طلب	من زوجي شراء سيارة له وارسل الى زوجي (27) الف",,,
"(الدين ؟ السلام عليكم... ابن عمي	طلب	من زوجي شراء سيارة له وارسل الى زوجي (27) الف",,,
"زواجي منهم ؟ لانهم اتوا على غير ما	يشتهي	غير ما يشتهي ولكن انا ما ذنبي فهو من اختارهم لي ولا",,,
"لانهم اتوا على غير ما يشتهي غير ما	يشتهي	ولكن انا ما ذنبي فهو من اختارهم لي ولا استطيع جبر اهل",,,
"بالعدة التزمت ؟ ولكم جزيل الشكر. زوجي	طلب	الطلاق عندما ذهبت لزيارة اهلي دون اخباري شخصيا ، وفي تلك اللحظة",,,
"اخيرًا بعد معاناة ، وطيلة هذه ولكنها اصبحت	حاجة	ملحة بشكل كبير ، ومع العلم انها طلقة بائنة. طُلقت من",,,
"ولكم جزيل الشكر زوجي طلقني ، وبعد شهرين	طلب	مني ان ارجع له ، وانا في بلد وهو في هل هذا",,,
"ظالم ؟ كنت متزوجا قبل 3 سنوات شكرا	اتمنى	من الله ثم منكم مساعدتي في حل موضوعي وهو: حدث ان",,,
"وطلقني بعد شهر ، وبعد اكثر من شهر	طلب	مني وبعد انتهاء العدة تزوجت ، فهل زواجي باطل ، لانني سمعت",,,
"يبلغ عمرهم 15 و 12 سنة حتى اذا	اراد	الله و اريد السؤال عما حدث معي ؛ انا سيدة متزوجة ،",,,
"توفي ابي وبعد حوالي ؛ لان زوجته لا	تريد	خدمتها ، وذكرت لنا ذلك مرارا. وانا بالسعودية مع زوجي واولادي",,,
"يحج الانسان يسجل نفسه في قائمة ثم يتم	اختيار	الحجاج بالقرعة ، فام زوجي تسجل نفسها مع ابن لها منذ سنوات",,,
"انزل ما في بطني ووافقت فطلقني بقوله وكيف	ارغب	بالنصح وارهب بالمعقول ؟. وجزاكم الله خيرا. يا فضيلة الشيخ",,,
"مشاعري وظنوني وصرحته بجميع الاتهامات خاصة بعد ان	طلب	هو الصراحة مني ، بعد ان طلب هو الصراحة مني ، انا",,,
"ان طلب هو الصراحة مني ، بعد ان	طلب	هو الصراحة مني ، انا بجد نويت ان اتغير ولكن اشعر ان",,,
"هو",,,
"للعلاج ، وستعود في هذا اليوم ، ولا	تريد	احدًا من اهلها او اخواتها احب الكذب ، وهذا ليس من طبعي",,,
"اكذب ؟ وهذا بالتاكيد لن يعجبهم ، ولن	يعجب	زوجي. اصبحنا في زمن اخذ الحق بالقوة ، وانا شاب ضعيف",,,
"اكون معه كلما ذهب لزيارة اهله ، وكلما	اراد	ان يبيت عندهم لا ارى حرجا في الزيارات ، لكني ارفض المبيت"," هل لحزني الدائم ؟ وهل يجوز	تمني	الموت وعدم الرغبة في الحياة ؟ ؟ ؟ استقال زوجي من العمل",,
"ومن عقوبته ؟ القضاء والكفارة بان النية كانت	قصد	الطلاق ان ذهبت للجيران.. ؟ حدث جدال بيني وبين زوجي",,,
"مع زوجته وحدثت مشاكل بينهم وعندما علم زوجي	طلب	من ابي ان ينقل عفش اخي من الشقة لانه لا يريد مشاكل",,,
"وذهبت الى بيت ذنبي انك قلت هذا دون	قصد	، وتكلمت مع اخي على هذا الاساس ، وعلم زوجي بذلك ،",,,
"زوجي وانني سوف اكون له في الجنة ان	شاء	الله ؟ كما ان هناك موضوعا يقلقني انه ربما سوف ياتي يوم",,,
"اهل زوجي وهو عبارة عن غرفة ومطبخ ان	شاء	الله. زوجي بار جدا بوالديه واشجعه على سيكون طابقا فوق بيت",,,
"اهل زوجي وهو عبارة عن غرفة ومطبخ ان	شاء	الله. زوجي بار جدا بوالديه واشجعه على ذلك دائما ، لكن",,,
"اعانكم الله ، وثبت خطاكم الى الجنة ان	شاء	الله ؟ انامتزوجة واعيش مع ام زوجي في نفس البيت لكن المشكلة",,,
"آمل ذلك. الجميل.. فانا لي	حاجة	عندكم وارجوا منكم ان تساعدونني فيها وهي: والد زوجي استدان مبلغاً",,,
"او ما شابهه ؟ ولكم خير الجزاء.	اراد	زوجي ان يكرم المسؤول في العمل (الشاف) حين قررت الادارة",,,
"باستقراض مبلغ من المال لزوجي ، الصراحة انني	ارغب	بان تبقى باسمي رغم انني لا امانع بان اسجلها باسم زوجي لانه",,,
"فاعطاه احد اصدقائه كتاب تحفة العروس خطيبتي التي	ابغي	زميلتي في الشغل ؟ ارجو معذرتي لان الموضوع يطول شرحه... اخو",,,
".. وانا احب الاسلام من كل قلبي	اتمنى	لو دراستي وتفرغت لولدي ولم يكن عندي مجال لافعل امرين في ذات",,,
"امي من اخي الثاني ان يخبرني انها لا	تريد	رؤيتي حيث انني لا احب الوقوع في المحرمات ؟. اشترط ابي",,,
"الهدية والهبة وليس مهراً ، وهل حقا اذا	اراد	زوجي ان يتراجع عن هبته واسترداد هديته له الحق بذلك ما هو",,,
"رجل فى مركز مرموق ومن عائلة ، كنت	اتمنى	شيئا واحدا فقط ان يصبح زوجي امام الله وحلالي وابا لاولادي ،",,,
"حكم الحلف بالله ؟ سؤالي هو ان زوجي	طلب	مني مبلغا من المال وقدره 5 الآف ريال كسلف ، وقلت له",,,
"اليمين هنا تعني طلاقا ؟ وما الحكم وعندي	رغبة	شديدة في قيادة السيارة فهل يجوز لي ان اتدرب على السيارة دون",,,
"وكان غير قادر على السداد لان المبلغ كبير	اتمنى	ان تسعفوني بالاجابة فانا في امس الحاجة لها ؟ جزاكم الله خيراً",,,
"من مشاكل لي عند اهل زوجي وايضا لا	ارغب	في ان يري زوجي امي عندما تمرض ، لانها تقع على الارض",,,
"مال لانه يعتبر ايجارا للارض علما بان البائع	طلب	من زوجي قراءة العقد ولكن يبدو ان زوجي كان متعجلا ولم يره",,,
"فهذا لانه يعتبر ايجارا للارض علما بان البائع	طلب	من زوجي قراءة العقد ولكن يبدو ان زوجي كان متعجلا ولم يره",,,
"، وانفقت مصاريف السفر من راتبي ، وهي	تريد	نقودًا بينما انا لي راتب ، وانفقت مصاريف السفر من راتبي ،",,,
"، وانفقت مصاريف السفر من راتبي ، وهي	تريد	نقودًا من زوجي وتظن انه يعطيني ولا يعطيها. وبعد الذي فعلته",,,
"وان منَ الله علي بالحمل ، ولكن زوجي	طلب	مني ان لا اخبر احداً وعندما كنت في الشهر السادس من الحمل",,,
"يعمل خارج البلاد واشتغلت فى بعض المدارس ،	طلب	مني والدي شراء شقة جدتي رغبت فى الجلوس فى هذه الشقة حيث",,,
"المدارس ، طلب مني والدي شراء شقة جدتي	رغبت	فى الجلوس فى هذه الشقة حيث انه لا يعيش فيها ، ونظرا",,,
"فتاة متزوجة يريد زوجي اذا اتتنا طفلة ان	شاء	الله تسميتها اكاسيا وهي معناها اسم من انواع الشجر فقلت ذلك.",,,
"الخطا ، يعني اشترينا اللحم بطريق الربا بدون	قصد	ابلغ من العمر 21 عاماً وانا نحيفة واريد ان امتنع عن الزواج",,,
"يعيب زوجي علي وهذا المتقدم لي دكتور فاكيد	يرغب	في زوجة تشرفه امام الناس ، تخيل يا في هذه الحالة وماذا",,,
"ان اسمع يجوز لي ذلك حيث اني ان	شاء	الله سادرس في نفس الجامعة التي يدرس فيها زوجي فذلك افضل من",,,
"اثابكم الله ؟ زوجي متزوج من ثانية وهو	يميل	لها من حيث المعاملة حيث انه يشفق عليها ويعطف عليها جنسية قاتلة",,,
"عليها ويعطف عليها جنسية قاتلة ، اغرق في	خيال	مع رجل لا ادري من هو ، لكني اتخيله زوجي ، واشعر",,,
"ووالد زوجي رجل معاشه كبير وبعد وفاة حماتي	طلب	ان يتزوج كل اولاده رفضوا ماعدا زوجي فزوجة ووالد زوجي رجل معاشه",,,
"ووالد زوجي رجل معاشه كبير وبعد وفاة حماتي	طلب	ان يتزوج كل اولاده رفضوا ماعدا زوجي فزوجة واعطاه 1000 دولار و2000",,,
"له غرفة نوم فكتب له ابوه نصيبة من	طلب	منه ان يعطي زوجتة الجديدة 1000جنية فاعطاها وهذا الكلام منذ 16عاما والآن",,,
"انني في الاسبوع الماضي كنت صائمة بناء على	طلب	من زوجي برغم انني كنت اعاني من انفلونزا وارتفاع في درجة الحرارة",,,
"ولقد طعنني في شرفي بدون دليل وبعد ذلك	طلب	مني الذهاب لمنزل الزوجية فابيت السلف: هل المراد ساقه عز وجل",,,
"انا و زوجي ـ قبل سنتين وكنا في	غاية	السعادة ، وقبل سنة سمعنا شيخا في الراديو يقول تم دخول شيء",,,
"المستقبل حرام ام لا ؟ لانني بصراحة لا	ارغب	في الانجاب من اول سنة لا اريد ان انجب طفلا سيكون هو",,,
"اذا رايته في بيت والدي وذلك بناء على	طلب	زوجي لما حدث بينهم في الماضي هل اطيع زوجي واظل على مقاطعة",,,
"ماذا افعل في بيت والدي وذلك بناء على	طلب	زوجي لما حدث بينهم في الماضي هل اطيع زوجي واظل على مقاطعة",,,
"جدا من مشكلة الجماع ، لان زوجي لديه	رغبة	دائمة يومية فيه ، وانا لا ارغب فيه يوميا ، وكثيرا ما",,,
"لديه رغبة دائمة يومية فيه ، وانا لا	ارغب	فيه يوميا ، وكثيرا ما اقبل من الاحيان اكون غير راغبة او",,,
"امه التي كانت تكرهه في وتكذب عليه الطلاق	اراد	ان يتزوجني ثانية فرفض اخي ، لانه كلمه في الهاتف ، فاتصل",,,
"ولكنها الآن لا تكلمني بسبب هذا القرار.	طلب	مني زوجي في احد الايام الا ارجع الى المدينة التي كنت اسكن",,,
"منزلنا في بيروت ، وتقضي اسبوعا كاملا نذهب	تريد	ان تاتي معنا. ارجو ان تشيروا عليَّ ماذا افعل ؟ وكيف",,,
"استطيع ان اشتري شيئا على راحتي ، ولكني	اشتاق	اليهم في بعض الاوقات ، واود الذهاب في منتصف الاسبوع مثلًا ،",,,
"القليل من النقود وهي راضية (فلما زوجي	اراد	ان يبنى فى الدور الثالث له رفضت وكتبت وصية بالاتفاق مع الاختين",,,
"غير ، وتدخلت اطراف كثيرة في اجباري على	طلب	الطلاق. اما لا غير ، وتدخلت اطراف كثيرة في اجباري على",,,
"غير ، وتدخلت اطراف كثيرة في اجباري على	طلب	الطلاق. اما من ناحية زوجي فهو رافض لطلاقي الا انني لاحظت",,,
"افعل ؟. انا ارفض الزواج بالدنيا و	اتمنى	ان يكون زوجي يوسف عليه السلام في الآخرة فهل هذا حرام ؟",,,
"افيدوني جزاكم الله خيرا. انه امر في	غاية	الاهمية ، طلقني زوجي للمرة الثانية ، وابتعدت عنه. وفي العدة",,,
"يستجاب ؟ جزاكم الله خيرا. عندي سؤال	اتمنى	ان تجيبوني عليه مع الشكر. زوجي حرمني من طفلتي الرضيعة ،",,,
"صلاتي جالسة بسبب الغثيان ؟ انا وزوجي ان	شاء	الله نود الذهاب الى العمرة زوجي عنده دفتر توفير اهله قد اودعوا",,,
"الطلاق ، مثل روحي عند اهلك انه لو	اراد	الطلاق بجد كان قال لي اللفظ الصريح ، فهل وقع الطلاق من",,,
"لي ابنتي مداعبا كنت اشك في انه ربما	قصد	الظهار وغيرها من الوساوس الله ، ونحن في ضيافة اشرف مكان فما",,,
"، وهذا بسبب الغضب منه ، وليس فقط	رغبة	في الاجر من عند الله ، الآن مريضة في المستشفى بين الحياة",,,
"الايام وعملت لنا فضيحة في الشارع لانها كانت	تريد	فضيحتي امام زوجي ظنا منها انني كذبت عليه وانكرت وجودها بل لم",,,
"عنه الحج بالنيابة عنه هذا العام ـ ان	شاء	الله ـ وكثير من الاقارب دائما يرون زوجي في المنام وهو بملابس",,,
"الطلاق انت اتخضيت (فزعت). دون	قصد	الطلاق ، بل كما الامور ، ولا ادري اي من تلك المواقف",,,
"، وقد تجاوزت الخمسين من عمرها ، ولا	تريد	ان تقع في الحرام. طلقني زوجي وانا حائض عبر رسالة صوتية",,,
"، ولكنه من نفس جنسيتي: عربي.	طلب	مني الانفصال عن زوجي والزواج منه ، علما انني اعرف عنه الكثير",,,
"مطعم ، ولكن في الفترة التي تم فيها	اختيار	مكان المطعم صهره في شراء مطعم ، ولكن في الفترة التي تم",,,
"مطعم ، ولكن في الفترة التي تم فيها	اختيار	مكان المطعم كان زوجي مشغولا بدراسته وبولادتي فوكل كل الامر لشريكه بما",,,
"هو شراء ضروريات بسيطة كنت السبب فيها دون	قصد	مني والله الشاهد على هذا ، ولكن عندما سالني زوجي اضطررت للكذب",,,
"حدث ، وذلك تلافياً لمشكلة بانه كان دون	قصد	مني لخلق مشكلة وكان تلافياً مني لما كان سيحصل لو عرف زوجي",,,
"هذا ليس بمحبب للعامة ؟ وجزيتم خيرا.	طلب	زوجي مني الا اصلي الا باذنه او موافقته بعد ان اقدمت على",,,
"ام لا ، مع العلم بان زوجي لديه	رغبة	شديدة في انجاب المزيد من الاطفال ؟ ابنتي بلغت 17 سنة من",,,
"؟ ابنتي بلغت 17 سنة من العمر وزوجي	نتمنى	ان ينعم الله علينا انه قدير سميع الدعاء. سؤالي هو هل",,,
"وزوجي وذرّيتي للجنة ، وانا اعاني ايضًا من	رغبة	زوجي للذهاب للشواطئ والمتنزهات فهو يحبّ الترفيه ، وانا اشعر انّي الوحيدة",,,
"مسالة الكراهة والاستحباب. شكرا جزيلا زوجي -ما	شاء	الله عليه- ملتزم ، وملتح ، ويدرس العلم الشرعي مع العمل ،",,,
"، ويدرس العلم الشرعي مع العمل ، ودائما	تريد	كفالة يتيم ، وهي تريد ان تقيم عندي ايام ولادتها المزعومة ،",,,
"العمل ، ودائما تريد كفالة يتيم ، وهي	تريد	ان تقيم عندي ايام ولادتها المزعومة ، وقد رفض زوجي هذا ،",,,
"بكلمات مثل: حلي عني ، اكرهك ،	قصد	ابعادي عنه حينها. فهل تعتبر هذه الكلمات طلاقا لي حتى لو",,,
"لو لم يقصد زوجي ان يطلقني ؟ فلو	اراد	ان يطلقني فهو لا يعلم الا اللفظ الصريح بالطلاق ، ان نبيت",,,
"شاب كذب بوجود طفلين ، فما الفتوى لو	طلب	للشهادة وحلف اليمين بذلك ؟ صدرت من زوجي بعض السلوكيات في الآونة",,,
"حكمه ؟ حماتي لا تحبني ولا تحب اهلي	تريد	من زوجي ان يتركني عند اهلي",,,
"وتغضب عليه و تدعي علي علي حتى انها	تريد	ان تطلق اباه بحجة ان نفسيتها تعبانة من ابنها لتضغط على زوجي",,,
"، وله والدة متوفاة منذ ولادته ، فاذا	اراد	زوجي ان يحج عنها او ان يعمل لها صدقة جارية ، فهل",,,
"الناس لن انها تسكن مع ابنتها بالقاهرة وهي	تريد	العودة الى بلدها وهي الشرقية وهل طالما والد زوجي معارض فكرة نزول",,,
"على زوجي ان يكف عن التفكير فى وهي	تريد	العودة الى بلدها وهي الشرقية وهل طالما والد زوجي معارض فكرة نزول", وساعة تتهمني بالزنا, وساعة,
"وليس عندي احد يساعدني سنة وشهران ، وكنت	اتمنى	ان اتابع في بيتي ، او بيت اهله ، لكن زوجي قال",,,
"نوع من العقوق ، وهل عليه. وان	شاء	الله اتمنى ان القى الحنان الذي حرمت منه في صغري من ام",,,
"العقوق ، وهل عليه. وان شاء الله	اتمنى	ان القى الحنان الذي حرمت منه في صغري من ام زوجي رغم",,,
"علم لن ينفق علي ولا على ابنته وانا	ارغب	في دخل لي لاتمكن ابوها وبعده هي ستتنازل عن المؤخر والنفقة ،",,,
"فعل الجميع في الدين واخاف الله فاعطيتها ما	تريد	بحضور عائلتي و عائلته وشاهدين مع العلم ان زوجي لم يحضر فقالت",,,
"امراة مسلمة محجبة ومتزوجة ولي اولاد",,,
"علم بانه مال حرام ؟ هل ينبغي لمن	اراد	ان يختم القرآن القراءة يتوضا بدون غسل الكفين اثناء غسل اليدين جاهلاً",,,
"تقريبا وانا في السعودية مع زوجي وسابقى ان	شاء	الله حتى شهر اكتوبر ، وامي الآن في فترة عدتها وهي تبلغ",,,
"زوجي غائب عني وانا اتخيل احيانا علاقتنا /	جنس	/ مع بعض مما يجعلني احس باحساس هناك شكا في ذلك اي",,,
"والخيانة لانه قائمة الزواج على الزوج وامي لا	تريد	رده الي مع علمها بان هذا الشيء اغضب زوجي وجعله كثير الشجار"," وقد	طلب	مني زوجي مضاجعة جارنا غير المسلم لجعله مسلمًا ، وقال لي:",,
"ينسى ويظل غاضبا مدة كبيرة. تراني اعاود	طلب	السماح لكنه لا يابه. اعترف اني كذلك في حالة الغضب لكني",,,
"الامر سنة ، ثم بعد ذلك وظننت انها	تريد	الاعتذار ، ولكنها بدات في السب والشتم فرددت عليها بالمثل ، فغضب",,,
"اخت في الجامعة واخ يسجل في الجامعة ان	شاء	الشهري ويوجد لديه اخت في الجامعة واخ يسجل في الجامعة ان شاء",,,
"اخت في الجامعة واخ يسجل في الجامعة ان	شاء	الله ويجب على زوجي ان يساعد في تعليمه لانه الاخ الاكبر الثاني",,,
"ان ناكل وهم لا ياكلون او وانه لا	رغبة	لي اطلاقاً بالزواج ، وليس لدي القدرة ، واوشك ان اجزم بان",,,
"واود ان اساعد وجه الله ولي اقارب في	حاجة	الى المال ايضا ولكن القرابة بعيدة (من ناحية زوجي) وهناك",,,
"، وحافظت على المال والعرض والاولاد ، والحين	اراد	زوجي ان يتزوج وعشت مع زوجي بما يرضي الله ، وحافظت على",,,
"، وحافظت على المال والعرض والاولاد ، والحين	اراد	زوجي ان يتزوج باخرى اصغر سنا ، واقوى صحة ؛ رغم انني",,,
"وقال لي يجب عمل عملية كرتاج وانه عليه	نزع	غشاء البكارة ، علم زوجي وتقبل الامر ، جاء اهله الى ابي",,,
"تحت سن الثامنة عشر. في صباح يوم	اراد	زوجي الذهاب الى وظيفته ، فوجدني لم اقم بكي ثوبه جيدا فغضب",,,
"نغير البيت ولو لبضعة اشهر حتى اتعافى ان	شاء	الله. ان نغير البيت ولو لبضعة اشهر حتى اتعافى ان شاء",,,
"نغير البيت ولو لبضعة اشهر حتى اتعافى ان	شاء	الله. ولكن وللاسف الشديد زوجي وامه فضلا الطلاق على هذا الحل",,,
"الطبيب بالنسبة لفحوصات الحمل وتكاليف الولادة مستقبلاً ان	شاء	الله هل يجوز لي على الرغم من انني ساخسر التامين الصحي بعد",,,
"، وقامت جهة العمل بطرح قرض سيارة لمن	يرغب	، ويريد يعمل في مكان حكومي ، وقامت جهة العمل بطرح قرض",,,
